ID,Total
3.0,5962.869131202634
4.0,7644.533238326367
5.0,9723.99476101732
6.0,12318.88117236796
7.0,11657.976588366508
8.0,8574.40374593867
9.0,12543.964747477854
10.0,12209.088828599575
11.0,9756.879313454177
12.0,9411.133784755677
13.0,5366.440772131527
14.0,11465.251659091042
15.0,10644.318346038008
16.0,11632.332341762614
17.0,5895.535187912277
18.0,7541.475266498301
19.0,5081.932219217767
20.0,10083.614158306287
21.0,5818.264857162687
22.0,11668.320973900714
23.0,10153.240237530868
24.0,8977.439358125233
25.0,12325.51242522685
26.0,6133.344175966955
27.0,6519.390441244217
28.0,7015.541554249463
29.0,7513.114944039353
30.0,6952.361974900811
31.0,11978.459581845666
32.0,6883.851496011454
33.0,8202.990129118562
34.0,11207.734463910198
35.0,8433.035056750707
36.0,10003.57833080145
37.0,9763.994666710232
38.0,8027.502838078406
39.0,5609.468603690897
40.0,11079.91388388857
41.0,11573.008473759843
42.0,9531.655924508897
43.0,9240.887666048282
44.0,11167.663665188495
45.0,4795.031411690641
46.0,10805.173083151803
47.0,7099.603499290845
48.0,9541.07982853091
49.0,11001.092395734016
50.0,11639.441196280155
51.0,9018.36361627985
52.0,7126.004086082376
53.0,4775.506586527287
54.0,7621.6078931044885
55.0,8759.897212697288
56.0,8932.768892321037
57.0,9916.213695598371
58.0,10075.446488800473
59.0,12795.195667885466
60.0,12417.936630894437
61.0,5613.317876523139
62.0,6913.2501642125835
63.0,5506.4356483046095
64.0,12471.456727037545
65.0,13255.917147760347
66.0,5278.018688009562
67.0,6121.916523008603
68.0,7888.053243363931
69.0,11124.72024230906
70.0,6362.468710984115
71.0,9996.9302606833
72.0,9196.44631487456
73.0,9882.759939416821
74.0,5647.4232623143
75.0,5989.604512284945
76.0,11441.1150716042
77.0,5058.923594602624
78.0,4866.621279985386
79.0,11386.92819334337
80.0,10658.909928285593
81.0,8252.660078398176
82.0,6598.398793828127
83.0,11651.478352678247
84.0,8463.730819607883
85.0,11175.345303093127
86.0,11559.828292975977
87.0,9845.584203111306
88.0,11012.308251627504
89.0,11713.031791787052
90.0,9254.44384928713
91.0,10191.861284460952
92.0,11078.177177402087
93.0,11856.092478604196
94.0,11094.48041925175
95.0,8062.087406591442
96.0,11005.109114209325
97.0,12269.146328495768
98.0,8462.087533848235
99.0,4840.769733978222
100.0,5496.7762483601055
,2477.7122693955444
,8988.0
2.0,9837.995679437134
1.0,11565.600456164268
